n;Validation Engine;serialNumber;val start;oph@start;Old PU first replaced OPH;Old PUs replaced before upgrade
41;YUKON ENERGY CORP;1251805;09.11.2020;12;0;0
42;DEN BERK 3;1253867;09.04.2021;40592;0;0
43;Lallemand  CHP 1 ;1350073;16.04.2021;17371;0;0
44;BMW MÜNCHEN;1253381;15.04.2021;59101;0;0
45;TOM VILLE;1364066;25.09.2020;0;0;0
46;Beirinckx 3;1253542;12.04.2021;9138;0;0
47;PROLEITE - 1;1353238;27.04.2021;11938;0;0
48;Tomco 620 ;1368036;11.06.2021;10899;0;0
49;ABINSK;1479044;14.04.2021;0;0;0
50;ABINSK;1479063;14.04.2021;0;0;0
